Tag ID,Name,Breed,Gender,Date of Birth,Status,Current Pasture,Is Pregnant (TRUE/FALSE),Expected Calving Date,Insemination Method,Dam Tag,Sire Tag,Purchase Date,Purchase Price (ZAR),Supplier,Sale Date,Sale Price (ZAR),Buyer
R-MASH,Mashiya,Nguni,Cow,,Active,high_field,TRUE,2025-09-15,Bull (Barrack),,,,9000,Rodney,,,
R-BAT,Batisi,Nguni,Cow,,Active,,TRUE,2025-10-15,Bull (Barrack),,,2020-01-01,9000,Rodney,,,
R-MKS,Mama ka Socks,Nguni,Cow,,Active,,TRUE,2025-09-15,Bull (Barrack),,,,8500,Rodney,,,
R-ENO,Enocent,Nguni,Cow,,Active,,TRUE,2025-10-15,Bull (Barrack),,,2019-01-01,9000,Rodney,,,
R-MARY,Mary,Nguni,Cow,,Active,,TRUE,2025-10-15,Bull (Barrack),,,2019-01-01,9000,Rodney,,,
R-YIN,Yin,Nguni,Cow,,Active,,FALSE,,,,,,0,,,,
R-CHIP,Chip,Nguni,Cow,2014-01-01,Active,,TRUE,2025-10-15,Bull (Barrack),,,2014-01-01,0,Rodney (gift),,,
VK-16-149,VK 16-149,Nguni,Cow,2016-01-01,Active,house_pasture,TRUE,2025-10-15,Bull (Barrack),,,2021-01-01,20000,Andrew van Kerken,,,
AV-21-67,21-67,Nguni,Cow,2021-03-01,Active,,TRUE,2025-09-15,Bull (Barrack),VK-16-149,,2021-03-01,0,Homebred (Glenthorpe),,,
V20-7,Africa,Nguni,Cow,2020-12-12,Active,,TRUE,2025-10-15,Bull (Barrack),R-BAT,Vrystaat,2020-12-12,0,Homebred (Glenthorpe),,,
V20-4,Batgirl,Nguni,Cow,2020-09-14,Active,,TRUE,2025-09-15,Bull (Barrack),R-MASH,Vrystaat,2020-09-14,0,Homebred (Glenthorpe),,,
V20-6,Beauty,Nguni,Cow,2020-10-09,Active,,TRUE,2025-10-15,Bull (Barrack),R-YIN,Vrystaat,2020-10-09,0,Homebred (Glenthorpe),,,
V20-2,Brandy,Nguni,Cow,2020-07-04,Active,,TRUE,2025-09-15,Bull (Barrack),R-MARY,Vrystaat,2020-07-04,0,Homebred (Glenthorpe),,,
